geometry,coordinates,OBJECTID,CARTONAME,SUBDIVISION,Shape_Length
LineString,"-78.80271208436481,35.59481425640353,-78.80271861322561,35.5949530665609,-78.80271831825935,35.59507429654076,-78.80270479617194,35.595568055298045",25,CHAPEL DR,Wake Chapel Manor,274.44512158287864
LineString,"-78.77961776334324,35.59943531177579,-78.7797092598334,35.599740971998244,-78.77977269636965,35.59991896906019,-78.77985647464689,35.60013692117954",26,AUGUST MOON CT,Smith Farms,265.15015598621017
LineString,"-78.79024149154004,35.62287669128932,-78.79042351682172,35.622805997397094,-78.79048152884303,35.62279318679102,-78.79055533641984,35.62278685821283,-78.79163480861658,35.62282795132717,-78.79174904944462,35.622831943705464,-78.79188610004631,35.62284481313769,-78.7920098849871,35.622858211372375,-78.79217058880153,35.62288000412938,-78.79233919608123,35.62290181017288,-78.79247093384531,35.622914945695804,-78.79259741556808,35.62292161726625,-78.79273181390984,35.622923997169316,-78.79288467623016,35.622919954436206,-78.794187422282,35.622865319704424,-78.79438934701653,35.62287499613074,-78.79453284686919,35.622886399714446,-78.79465808820234,35.622910792850725,-78.7947741927146,35.62294447276527,-78.79487888293438,35.622987432036126,-78.79496307374893,35.62302849798468,-78.79505634038267,35.62308445929447,-78.79513365543197,35.62314225412021,-78.79520866736719,35.62320934644396,-78.79527001460562,35.62327455524549,-78.79533587222033,35.62335837265881,-78.79539259889154,35.62344961562985,-78.79560749334755,35.623890695582176,-78.79573211721969,35.62414156216462,-78.79583918450098,35.62435708633871,-78.79601634929197,35.624719000779486,-78.79617084305728,35.62501750123108,-78.79639389803651,35.62540142093689,-78.79641492578239,35.62543720699396,-78.79674785436063,35.62600380218447,-78.79685574647553,35.62618741759741,-78.79691209965182,35.62627894399554,-78.79697092744229,35.62636944691526,-78.79703512834801,35.626460084066224,-78.79765520537724,35.627267102213466,-78.79770669934372,35.62733951161533,-78.7977489872937,35.627402865667094,-78.79778389856033,35.62746470031527,-78.7978164992233,35.62752516280423,-78.79786322480345,35.62761983297831,-78.79789916681344,35.62770006842013,-78.79794835661833,35.627809880550004,-78.79808305721335,35.628121454272566,-78.79813763269003,35.628258916292125,-78.79817768178901,35.628366420908,-78.79823104627293,35.62851902777387,-78.79824392875248,35.62856591316517,-78.79825224511109,35.62860293701518,-78.79825706175643,35.62862925469201,-78.79825905630624,35.62864941031134,-78.79826045671673,35.628673620284985,-78.79826039824417,35.62869711123527,-78.79825680886013,35.62873085230846,-78.79818098011663,35.629212175271384",27,BELVINWOOD DR,Mill Ridge,3915.8420376319555
LineString,"-78.79957180404728,35.607540960574596,-78.79952488665667,35.60848738014916,-78.7995160260827,35.60857148434379,-78.79949599198727,35.60866311475778,-78.79947267533345,35.60874664885685,-78.79940320741709,35.608971834461634,-78.79937624454311,35.609048314535,-78.79936098786975,35.60911567110456,-78.79934911927262,35.60919038591711,-78.79934582571751,35.60946368429433",28,ASHVIEW DR,Woodchase,705.8657160741216
LineString,"-78.78583812410628,35.60806327686625,-78.7858198395739,35.60872854701676",29,JAYBIRD LN,Stewart Manor ,242.20255300233765
LineString,"-78.81747240817916,35.614018963571255,-78.81739353223396,35.61413489191668,-78.81735451114731,35.61419102507013,-78.81729752140279,35.61425445951046,-78.81721657009147,35.61433007534263,-78.81712962356711,35.61441056763685,-78.81706668914052,35.61445689274843,-78.81700373147818,35.61451298976373,-78.81696473752196,35.61455690718711,-78.81692270790833,35.6146203639691,-78.81687163976586,35.614710682971214,-78.81681755905002,35.61481076848011,-78.81676494439147,35.6149263718009",30,DOVECOTE RD,Springhill ,395.81548310749963
LineString,"-78.77577766083179,35.583750583787854,-78.77566239281029,35.58380660750452,-78.77561946404198,35.58382219996324,-78.77558558260984,35.58383135690394,-78.77553364693686,35.58383955745613,-78.77547269706636,35.58384221125162,-78.77511268320758,35.583845233172546",31,E TURRET CT,Sunset Forest,205.38119872276724
LineString,"-78.7932162188856,35.571309620540845,-78.79303441344638,35.571390566002364,-78.79297773578402,35.57141169654256,-78.7929210664325,35.57142956039263,-78.79287907413212,35.57143874079952,-78.79283909428833,35.571443570855436,-78.79279444924907,35.57144730585281,-78.79275114891024,35.57144723200323,-78.7927098560595,35.57144389488521,-78.79266390857646,35.57143619784564,-78.79261864192826,35.57142414638027,-78.79253479116834,35.57139662497765,-78.79230875040915,35.57131319091197",32,BARN VIEW CT,Phillips Pointe,290.4010404297156
LineString,"-78.74949003101851,35.57405536513739,-78.74882063274934,35.57439815540051",33,ATKINS LAKE CT,South Lakes,234.92233436465955
LineString,"-78.74756104783555,35.57370999769028,-78.7475055915824,35.573536460006075,-78.7474900670557,35.57350344636043,-78.74746932501382,35.573473611929366,-78.74744335882406,35.57344802485736,-78.74741738050665,35.57342669146883,-78.7473820631405,35.573405210659544,-78.74727509331585,35.57333989439698",34,HYCO LAKE CT,South Lakes,166.49508758042467
LineString,"-78.80642728660196,35.58563240932733,-78.80659538356088,35.58569202137191,-78.80663167861417,35.58570379098673,-78.80667085014956,35.58571244272587,-78.80669951973442,35.5857156125752,-78.80672713837816,35.58571618652431,-78.80707811315209,35.58569122744245,-78.80725212769892,35.585675105342325",35,KELLYWOOD CT,Town Street,251.7913077933527
LineString,"-78.75934018823718,35.586076187022485,-78.75913009995163,35.586548964344665",36,CLAYDER CT,Willow Creek,183.0639902716217
LineString,"-78.76032195234788,35.585788615230065,-78.76028733860198,35.58661763689052",37,APPSMILL PL,Willow Creek,301.91662195238075
LineString,"-78.7938483701167,35.57821159686111,-78.79336542995254,35.57820544480409,-78.793259923658,35.5782034886866,-78.79317292117571,35.57819712007411,-78.79308701116453,35.57818897569961,-78.79299458724489,35.57817548929074,-78.79291630640522,35.57816113723347,-78.79284455882592,35.57814413172654,-78.79276195243645,35.57811999831976,-78.79269673699832,35.57810122540398,-78.79258153495509,35.578062818485684,-78.79204573626912,35.5778850661429,-78.7918316409514,35.57781183221316,-78.79142734581555,35.57767873233,-78.79129039337792,35.577639398065465,-78.79119255471305,35.577617902862166,-78.7911119930892,35.57760607324449,-78.79102183009097,35.57759806071438,-78.79092829636882,35.57759345591862,-78.79083909368863,35.57759685572443,-78.79074009509468,35.5776029067388,-78.7906291109908,35.57761693333873,-78.79018948805484,35.57768637697376,-78.78990982844537,35.577729434991696,-78.78972593231558,35.57775666638601,-78.78956628355853,35.577777996567,-78.78944117020875,35.57779336052901,-78.78932146490088,35.57780471800297,-78.78922492359047,35.57781611463968,-78.78912453251489,35.57782329948915,-78.78901513629101,35.57782941668685,-78.78894949996825,35.57783245670198,-78.78888001117875,35.577832335990706,-78.78878736657049,35.57782902099532,-78.7887011661092,35.57782256403882,-78.78862912620451,35.57781402778709,-78.78855195720277,35.57779812444135,-78.78847094511775,35.57777590636118,-78.7883912399012,35.57774633237652,-78.78831541351677,35.577709405167376,-78.78824859009751,35.57767354553304,-78.7881702347399,35.57761979370529,-78.78811526029092,35.577574303364216,-78.78806844753683,35.57753470886652,-78.78800588161185,35.577481789417796,-78.78794299010104,35.577419653455856,-78.78780822870937,35.57728380349643,-78.78749635105764,35.57697102887155,-78.78728651390016,35.576751238430354,-78.78707598538662,35.576552723949106,-78.78674991772264,35.57622692969024,-78.78641997126024,35.57591574391064,-78.78600941589261,35.575514793545125,-78.78586764919207,35.57536724506486,-78.78586244556114,35.575361925745,-78.78576218147927,35.575259418430136,-78.78568263714948,35.575182795233495,-78.7856082865656,35.575109014248454,-78.78553044809564,35.5750437254636,-78.78546296627603,35.57499403562071,-78.78540065674063,35.574955683675775,-78.78530543595502,35.57490735994934,-78.7851600001516,35.57483628616397,-78.78504225443508,35.57478367410015,-78.78493663835239,35.574732498589455,-78.7848414207564,35.574682759302355,-78.78474795008079,35.574628772930815,-78.78466314390182,35.57457480184181,-78.7846025792135,35.574533620373664,-78.78454548919292,35.57448819583351,-78.78447457413016,35.574427168739035,-78.78438637546914,35.57434628102118,-78.78429302226225,35.57424838727578,-78.78429115944114,35.57424646939377,-78.78417200025831,35.57412353569868,-78.78381932890268,35.57375466040808,-78.78357903614327,35.573500709161365,-78.78353202419,35.57345188847528,-78.78334003139791,35.57325251966835,-78.78321005817969,35.57312550579942,-78.7831465226396,35.573063416600206,-78.78307701095719,35.573000781265414,-78.78299794982055,35.57293255006453,-78.7829229625642,35.57287325446612,-78.78286359391252,35.57283203097835,-78.78283431927635,35.57281170344624,-78.78275248680274,35.57275797607967,-78.78264472603237,35.57269304203139,-78.78247555704834,35.572600089686844,-78.78226976799512,35.572485698366286,-78.78206486795558,35.57237654001957,-78.78182945165236,35.57225127618343,-78.7814425356958,35.5720472670831,-78.78106465949558,35.57184705620628,-78.78095735216417,35.57179246954544,-78.78083369949701,35.57173594774422,-78.7807391974203,35.571697605604385,-78.78062835403648,35.57165541825599,-78.7804778188844,35.57160552332989,-78.78034010574676,35.57156519723771,-78.78020354670952,35.57153059697547,-78.78004363215493,35.57149404601454,-78.77989187859792,35.571463234427156,-78.7797401132977,35.571437195549066,-78.77946341962712,35.57139470546822,-78.77932563725594,35.57138014105174,-78.77915748575992,35.57136647586851,-78.77901735705849,35.571356679758246,-78.77885618544991,35.57135256818663,-78.77875456741458,35.57135429236162,-78.77863775867709,35.571357896142736,-78.7785302849601,35.57136628794529,-78.77842630930641,35.57137564151748,-78.7783141505251,35.57138784292171,-78.77811952289882,35.571412792707335,-78.77804286094286,35.571423010693415,-78.77796019800437,35.5714341109537,-78.77780866188733,35.57145071177832,-78.777648288434,35.57146166969408,-78.77751547369232,35.571466249068614,-78.77738365850243,35.57146600763148,-78.77723611609775,35.57146091472037,-78.7770433459799,35.571447703553844,-78.7769204012428,35.571438225906036,-78.77688330460796,35.57143536615093,-78.77669517629576,35.57141928478039,-78.77641098227991,35.5713902805606,-78.77577567156409,35.57133043938898,-78.7739139701485,35.57116785337622,-78.77363564955934,35.57114322628763,-78.77324619467946,35.571110352509145,-78.77296590507122,35.57108732470551,-78.77261971967162,35.57105935135829,-78.77228040197596,35.571037819593734,-78.77208860991293,35.571027012742576,-78.77196548182867,35.57102313645229,-78.77167991359653,35.57102209177751,-78.77148184510702,35.57102342306881,-78.77126604755813,35.57102727523535,-78.7707572742401,35.57104846022035,-78.77059256178549,35.57105070481576,-78.77048727546065,35.57105050598128,-78.7703736543286,35.571048587654836,-78.77026004285078,35.571043262843325,-78.7701381051372,35.571032812127704,-78.76997448470391,35.57101802326128,-78.7698400550952,35.571001586725394,-78.76971814036592,35.57098347011115,-78.7696004033131,35.570962805822354,-78.76948163715015,35.57093702942026,-78.76935767727312,35.570905281171626,-78.76924311070692,35.57086929241413,-78.76912959895498,35.57082904642885,-78.7690004822276,35.57077769965303,-78.76889948684916,35.57073492267395,-78.76879609381666,35.57068607551493,-78.76874898139472,35.570664571253424,-78.76868826721274,35.57063362233188,-78.76863069848987,35.570602678468006,-78.76856372755348,35.570560585256054,-78.76848734248006,35.57051076167452,-78.7684015528408,35.57045064233396,-78.76831159539209,35.570381951665944,-78.76820386116952,35.5702978103401,-78.76807850930801,35.57019392252984,-78.76788734955139,35.570028207019135,-78.76757112736031,35.569756897050105,-78.76726022332326,35.569504618711505,-78.76702254099116,35.5693256431928,-78.76675582395103,35.56912684822009,-78.76659541982941,35.56900729277935,-78.76620240139285,35.56869880289965,-78.76553327009854,35.56813914063013,-78.76516102440944,35.56783008163856,-78.76506982534508,35.56775436328472,-78.76463094175362,35.567396950519075,-78.7634359021683,35.56641641008104,-78.76314643901947,35.566179341416,-78.76266970695109,35.56579104214255,-78.76240317678646,35.565568816593526,-78.76228737628799,35.5654722643292,-78.76197649084591,35.5652011481546,-78.76186050051217,35.56508881873955,-78.7617697902068,35.565000908221656,-78.76167070642606,35.56489512080201,-78.76142905306503,35.564612614525096,-78.76119194929781,35.564333659201935,-78.7602513356874,35.56322564738783,-78.76008125159697,35.563034828778406,-78.7599764444042,35.56292506423674,-78.75990807346635,35.56286019121609,-78.75984728678489,35.56280653579532,-78.75978192021314,35.562755362768044,-78.75971045729769,35.56270542158461,-78.75959792194311,35.562632990190494,-78.75944427115054,35.56255300825371,-78.75931494238316,35.562492992631,-78.7591840626586,35.56244044372984,-78.75904557653044,35.56238539082445,-78.75886447277891,35.562315311506005,-78.75842767761732,35.562151352724804,-78.75777421106588,35.56190881873245,-78.75746983414592,35.56179564503189,-78.75723199794494,35.561702731904575,-78.75711081382265,35.56165105195501,-78.75701264507134,35.56160593056393,-78.75687159657197,35.56153078224397,-78.75680294045166,35.56148792277202,-78.75673664567485,35.56144194191886,-78.75668096537598,35.56139598589382,-78.75662546959872,35.561344436998525,-78.75656816609188,35.561286921665285,-78.7565036023508,35.56121671800779,-78.75642632367203,35.561127851386296,-78.75626635471396,35.56092849055276,-78.75602095756999,35.56062086334273,-78.75592553518175,35.560498414179,-78.75585825934083,35.56042000553734,-78.7557991504168,35.56035652160299,-78.75576276785469,35.56032066540821,-78.75572180822765,35.560289272768415,-78.75562219400435,35.56022493749337,-78.75554513512478,35.56018529733341,-78.75546951114734,35.560153090290356,-78.75535284576362,35.56011707234877,-78.75527261778208,35.56009902058301,-78.75516684034258,35.560082406397,-78.75507398430034,35.56007734803664,-78.75495367593932,35.56007808885824,-78.75484177692965,35.560082777556545,-78.75469737940062,35.560092316796734,-78.75453854824795,35.560100844172226",38,HOLLAND RD,Town Street,14348.441787701098
LineString,"-78.79629322787628,35.574797754927346,-78.7960438443487,35.57474399351822,-78.79572919406449,35.574679641310475,-78.79559050495912,35.57465463939956,-78.79547975973085,35.57464588072931,-78.7953375190411,35.57464278469268,-78.79501337260383,35.57464509482416,-78.79463753406405,35.57464572396243,-78.79436366606967,35.57464850312555,-78.7942750115302,35.57465375785465,-78.79418900110466,35.57466009777672,-78.79404474538553,35.574679308275854,-78.79373639049044,35.57471769597871,-78.79364772208318,35.57472835502334,-78.79354177226845,35.57473466783496",39,CORWOOD DR,Phillips Pointe,826.9319514169556
LineString,"-78.7576759758761,35.590105205058585,-78.75730406863588,35.590127241253626,-78.75671406529214,35.590168169483405,-78.7566582635345,35.59017634250915,-78.75660753056117,35.59018590479869,-78.75656184841354,35.59020100004628,-78.7565212339388,35.59021748546885,-78.75647552383784,35.590242244509554",40,COTTEN GRAY DR,Terra Mobile Home Park,363.67433949134096
LineString,"-78.7968988759918,35.593683944446525,-78.79686017655584,35.59409361459204,-78.79685993509433,35.59409616784236",41,CHARLOTTE ST,Town Street,150.4842896341583
